LABEL	NAME	TIER	IGNORE_CASE	REGEX	NOTES
0	non_drugs	4	1	(diabetes mellitus insulin therapy|insulin toxicity|type 2 diabetes mellitus\s*[,]\s*insulin)	diabetes-related insulin mentions
0	non_drugs	4	1	(coumadin (clinic|program)|oral medicine|captopril renogram test)	Proper names
0	non_drugs	4	1	\( (dose unknown) \)	Parenthetical comments
1	drugs_2	4	1	(metoprolol\s*(tartrate|sustained release)*|toprol[ -]*(xl)*\s*(\( metoprolol\s*(tartrate)* \))*)	
1	drugs_2	4	1	toprol xl \( (metoprolol\s*(succinate extended release|\( sust[.] rel[.] \))) \)	
1	drugs_2	4	1	(metoprolol xl|kcl immediate release)	
1	drugs_2	4	1	(iron|potassium|folate)\s*(supplement(s|ation)*)	
1	drugs_2	4	1	(steroids|chemotherapy)	
1	drugs_2	4	1	(multi|b|maalox|short)[- ](acting|blocker|tablet|vitamin)[s]*	
1	drugs_2	4	1	(antibiotic|anti[- ]ischemic|diabetic|torsemide|novolog|medication) regimen	
1	drugs_2	4	1	((enteric[- ])*coated\s*(aspirin|asa)|(ecasa|ec asa|enteric coated asa)\s*\( aspirin enteric coated \))	
1	drugs_2	4	1	(insulin (7/30|regular|nph) human)	
1	drugs_2	4	1	(((cardiac|pain|copd|(blood\s*)*pressure|oral|narcotic pain|outpatient|these|your|pressor|pressure)\s*)(medication[s]*))	
1	drugs_2	4	1	((bp|diabetes|sedating|immunosuppressive) (medication|med)[s]*)	
1	drugs_2	4	1	((nitroglycerin\\s*(((sublingual )*tablet|patch|spray|paste)[s]*)*|nitro[ ]*(spray|patch|paste)|ntg|nitro)[es]*\\s*(1/150|(sublingual )*tablet[s]*|spray[s])*)\\s*([(] [0][.][1-9] (mg) [)])*	
1	glue	4	1	(human|nebulizer|liquid|sr|mg|release|rel[.]*|patch|liquid|[.]{3})\s*([)]\s*)+	tail
1	glue	4	1	\s*(XL|MG|REL[.]*|solution|therapeutic|nebulizer|1/150|70/30)\s*([(]\s*)+	head
1	glue	4	1	([A-Za-z0-9/.+=-]+\\s*)([0-9/]+\\s*)*[(]\\s*([A-Za-z0-9/.+=-]+\\s*){1,5}\\s*[(]\\s*([A-Za-z0-9/.+=-]+\\s*){1,5}\\s*[)]\\s*[)]	nested (slow!)
1	glue	4	1	((nitrate|lipitor|niacin|calcium|diuril|lasix|plavix|statin|flagyl|ACEi|coum|levo|dig|asa|mag|BB|k)+[/]){1,3}(nitrate|lipitor|niacin|calcium|diuril|lasix|plavix|statin|flagyl|ACEi|coum|levo|dig|asa|mag|BB|k)+	slash
1	glue	4	1	((enteric|ACE)\s*[-]|[.]{3}|((quick )*dissolve|chewable|asa)\s*[/]\s*(chewable)*)	punctuation

